"Final 56789;5027910"
"Final 56879;5889350"
"Final 56897;5866817"
"Final 56978;4710336"
"Final 56987;5080128"
"Final 57689;5158866"
"Final 57698;4896589"
"Final 57869;5954528"
"Final 57896;5964702"
"Final 57968;4906763"
"Final 57986;5178129"
"Final 58679;7742802"
"Final 58697;7720269"
"Final 58769;7808224"
"Final 58796;7818398"
"Final 58967;7740619"
"Final 58976;7773329"
"Final 59678;4730686"
"Final 59687;5100478"
"Final 59768;4796162"
"Final 59786;5067528"
"Final 59867;5905346"
"Final 59876;5938056"
"Final 65789;3902790"
"Final 65798;3640513"
"Final 65879;4764230"
"Final 65897;4741697"
"Final 65978;3585216"
"Final 65987;3955008"
"Final 67598;3110601"
"Final 67859;3078746"
"Final 67895;2800729"
"Final 67958;2816200"
"Final 67985;2538316"
"Final 68579;4470350"
"Final 68597;4447817"
"Final 68759;3940442"
"Final 68795;3662425"
"Final 68957;3907656"
"Final 68975;3639884"
"Final 69578;3028671"
"Final 69587;3398463"
"Final 69758;2760895"
"Final 69785;2483011"
"Final 69857;3120703"
"Final 75689;4098538"
"Final 75698;3836261"
"Final 75869;4894200"
"Final 75896;4904374"
"Final 75968;3846435"
"Final 75986;4117801"
"Final 76589;3503722"
"Final 76598;3241445"
"Final 76859;3209590"
"Final 76895;2931573"
"Final 76958;2947044"
"Final 76985;2669160"
"Final 78569;4567316"
"Final 78596;4577490"
"Final 78659;4005268"
"Final 78695;3727251"
"Final 78956;4020945"
"Final 78965;3737361"
"Final 79568;3257122"
"Final 79586;3528488"
"Final 79658;2957154"
"Final 79685;2679270"
"Final 79856;3234228"
"Final 79865;2950644"
"Final 85679;7416170"
"Final 85697;7393637"
"Final 85769;7481592"
"Final 85796;7491766"
"Final 85967;7413987"
"Final 85976;7446697"
"Final 86579;6323818"
"Final 86597;6301285"
"Final 86759;5793910"
"Final 86795;5515893"
"Final 86957;5761124"
"Final 86975;5493352"
"Final 87569;6421268"
"Final 87596;6431442"
"Final 87659;5859220"
"Final 87695;5581203"
"Final 87956;5874897"
"Final 89567;6333154"
"Final 89576;6365864"
"Final 89657;5781346"
"Final 89675;5513574"
"Final 89756;5829812"
"Final 89765;5546228"
"Final 95678;3617085"
"Final 95687;3986877"
"Final 95768;3682561"
"Final 95786;3953927"
"Final 95867;4791745"
"Final 95876;4824455"
"Final 96578;3048893"
"Final 96587;3418685"
"Final 96758;2781117"
"Final 96785;2503233"
"Final 96857;3140925"
"Final 96875;2873153"
"Final 97568;3146505"
"Final 97586;3417871"
"Final 97658;2846537"
"Final 97685;2568653"
"Final 97856;3123611"
"Final 97865;2840027"
"Final 98567;4497609"
"Final 98576;4530319"
"Final 98657;3945801"
"Final 98675;3678029"
"Final 98756;3994267"
